Official,Planned,Sub Region,Location,Location Description,Status,Location Description,Description,Event Comments,Event Type,Closure Start Date,Closure End Date,"Closure Duration (d,h,m)",Closure Duration (hh.mm),System Start Date,System End Date,"Event Duration (d,h,m)",Event Duration (hh.mm),Event ID,Impact Summary
Official,Unplanned,Bay of Plenty East,002-0294/02.22,Awakeri to Opotiki (Waiotahe Beach),Resolved,Awakeri to Opotiki (Waiotahe Beach),Slip,"SH2 is closed in both directions in the Waiotahe Beach area, west of Opotiki, between Paerata Ridge Rd and Waiotahe Valley Back Rd due to a slip.",Road Hazard,25-Sep-2023 15:05:00,26-Sep-2023 14:05:00,"23 h, 0 m",23.00,25-Sep-2023 05:13:00,26-Sep-2023 14:06:07,"1 d, 8 h, 53 m",32.53,443255,"RC, C, "
Official,Planned,Bay of Plenty East,005-0045/05.57,Malfroy St to Lake Rd (Old Taupo Rd),Resolved,Malfroy St to Lake Rd (Old Taupo Rd),Bridge Repairs,"SH5 Utuhina bridge on Old Taupo Rd (SH5) is closed in both directions between Pukuatua St and Sunset Rd from 7am, Mon 25 Sep until mid-October.  ",Road Work,25-Sep-2023 07:00:00,12-Oct-2023 19:00:00,"17 d, 12 h, 0 m",420.00,25-Sep-2023 07:00:00,12-Oct-2023 19:00:00,"17 d, 12 h, 0 m",420.00,440116,"C, RC, "
Official,Unplanned,Bay of Plenty East,035-0049/01.66,Opotiki to Te Araroa,Resolved,Opotiki to Te Araroa,Slip,"Due to a slip partially blocking, caution is advised along this route. Temporary traffic management is in place.",Road Hazard,25-Sep-2023 15:41:00,25-Sep-2023 19:22:00,"3 h, 41 m",3.41,25-Sep-2023 15:40:00,27-Sep-2023 06:24:12,"1 d, 14 h, 44 m",38.44,443363,"C, RC, "
Official,Unplanned,Bay of Plenty East,035-0028/00.94,Hawai to Omaio,Resolved,Hawai to Omaio,Slip,"Due to a slip at Motu Bluff, SH35 is closed between Hawai and Omaio until further notice. Resident access through the work site will be made available from 8am-9am, 12pm to 1pm and from 5.30pm-6.30pm daily until the full reopening is possible.",Area Warning,27-Sep-2023 06:00:00,29-Sep-2023 17:20:00,"2 d, 11 h, 20 m",59.20,26-Sep-2023 06:56:00,29-Sep-2023 17:21:29,"3 d, 10 h, 25 m",82.25,443407,"RC, C, "
Official,Planned,Bay of Plenty East,002-0334/03.28,Waioweka Pa Road to Matawai ,Resolved,Waioweka Pa Road to Matawai ,Resurfacing,"Works are expected to start on Monday 16 October 2023 and will be completed by Tuesday 31 October 2023. 
Sealing will be undertaken during the day, Monday to Friday. Due to significant periods where the road will be closed between Waioeka Pa Road and Matawai, major delays can be expected. During the closure period Monday 16 October to Thursday 26 October there will be intermittent periods of stop/go traffic management to allow vehicles through the Gorge.",Road Work,26-Oct-2023 14:20:00,26-Oct-2023 17:00:00,"2 h, 40 m",2.40,28-Sep-2023 08:55:00,28-Sep-2023 09:02:51,7 m,0.07,443436,"D, RC, RC, D, RC, D, D, RC, D, RC, D, RC, D, RC, D, RC, RC, D, RC, D, RC, RCo, RC, D, RC, RC, D, RC, D, RC, RC, D, RC, D, RC, D, D, RC, D, RC, D, RC, RC, D, D, RC, D, RC, RC, D, RC, D, RC, D, RC, D, RC, D, RC, D, D, RC, D, RC, D, RC, D, RC, D, RC, D, D, D, "
Official,Unplanned,Bay of Plenty East,005-0045/03.68-I,"Fairy Springs to Rotorua, North Bound",Resolved,"Fairy Springs to Rotorua, North Bound",Object/Obstruction,"Due to a burst water main, expect traffic management in northbound lanes on SH5 near Old Quarry Road.",Road Hazard,29-Sep-2023 04:36:00,29-Sep-2023 06:40:00,"2 h, 4 m",2.04,28-Sep-2023 23:29:00,29-Sep-2023 08:51:33,"9 h, 22 m",9.22,443750,"C, RC, C, "
Unofficial,Unplanned,Bay of Plenty East,035-0065/11.66,Opotiki to Te Araroa,Resolved,Opotiki to Te Araroa,Fallen tree/s across highway,Road blocked waikawa bay Sh35,Road Hazard,09-Oct-2023 20:09:00,09-Oct-2023 20:33:00,24 m,0.24,09-Oct-2023 20:08:00,09-Oct-2023 20:34:02,26 m,0.26,444791, 
Official,Unplanned,Bay of Plenty East,035-0065/12.59,Te Kaha,Resolved,Te Kaha,Fallen tree/s across highway,"Following clearance of a fallen tree, SH35 is fully open near Waikawa Bay Campsite, north of Te Kaha. ",Road Hazard,09-Oct-2023 20:12:00,10-Oct-2023 08:25:00,"12 h, 13 m",12.13,09-Oct-2023 20:12:00,10-Oct-2023 10:01:23,"13 h, 49 m",13.49,444793,"C, RC, C, "
Official,Planned,Bay of Plenty East,002-0304/08.02,Opotiki to Matawai (Waioeka Gorge),Resolved,Opotiki to Matawai (Waioeka Gorge),Resurfacing,Resurfacing works on SH2 between Waioeka Pa Rd and Matawai have been completed with planned closures today (Fri 3 Nov) cancelled. SH2 is now OPEN through the Waioeka Gorge in both directions.,Area Warning,03-Nov-2023 07:00:00,03-Nov-2023 09:00:00,"2 h, 0 m",2.00,18-Oct-2023 07:00:00,03-Nov-2023 11:00:00,"16 d, 4 h, 0 m",388.00,443654,"C, RC, C, RC, C, RC, C, RC, C, RC, RC, C, C, RC, RC, C, C, RC, C, RC, C, RC, C, RC, C, "
Official,Planned,Bay of Plenty East,036-0028/17.97,Western Road to Ngongotaha Roundabout,Resolved,Western Road to Ngongotaha Roundabout,Resurfacing,"Due to asphalt resurfacing work taking place on SH36 between Western Road and the Ngongotaha Roundabout. A road closure will be in place from Wed 1 Nov to Fri 3 Nov, between 7pm and 5am each night. reduced speed limits will remain in place during the day, drive with care. ",Road Work,02-Nov-2023 19:00:00,03-Nov-2023 05:00:00,"10 h, 0 m",10.00,01-Nov-2023 19:00:00,03-Nov-2023 05:00:00,"1 d, 10 h, 0 m",34.00,447350,"D, D, RC, RC, "
Unofficial,Planned,Bay of Plenty East,030-0158/00.11,Matahi Road to SH34,Resolved,Matahi Road to SH34,Resurfacing,"Due to resurfacing work taking place on SH30, from SH33 to Matahi Road, a road closure will be in place, from Mon 13 Nov to Fri 17 Nov, between 7am and 5pm each weekday. Speed restriction will remain in place, drive with care. Expect significant delays. Please allow an extra 30 minutes of travel time for your journey.",Road Work,17-Nov-2023 07:00:00,17-Nov-2023 17:00:00,"10 h, 0 m",10.00,02-Nov-2023 00:00:00,02-Nov-2023 10:34:29,"10 h, 34 m",10.34,447331,"D, RC, D, RC, D, RC, D, RC, D, RC, "
Unofficial,Unplanned,Bay of Plenty East,002-0243/11.95-B,Taneatua to Awakeri,Resolved,Taneatua to Awakeri,Crash,SH2 is closed due to a serious crash near the intersection of SH2 and Taneatua Rd. Avoid the area/delay your journey.,Road Hazard,03-Nov-2023 17:14:00,03-Nov-2023 18:15:00,"1 h, 1 m",1.01,03-Nov-2023 17:14:00,03-Nov-2023 18:16:34,"1 h, 2 m",1.02,448069,"RC, C, "
Official,Unplanned,Bay of Plenty East,038-0000/05.95,Rerewhakaaitu,Resolved,Rerewhakaaitu,Crash,"Due to a crash, SH38 is closed between Rerewhakaaitu Rd and Brett Rd. Allow extra time for detour.",Road Hazard,04-Nov-2023 00:39:00,04-Nov-2023 09:29:00,"8 h, 50 m",8.50,04-Nov-2023 00:10:00,04-Nov-2023 09:30:08,"9 h, 20 m",9.20,448095,"RC, C, "
Official,Unplanned,Bay of Plenty East,030-0187/05.18,Tikitere to Rotoma,Resolved,Tikitere to Rotoma,Crash,"Due to a crash between Matahi Rd and the SH34 (Kawerau) intersection, the road is CLOSED. Allow extra time for diversions. Delay your journey if possible.",Road Hazard,11-Nov-2023 11:56:00,11-Nov-2023 16:47:00,"4 h, 51 m",4.51,11-Nov-2023 10:31:00,11-Nov-2023 16:48:00,"6 h, 17 m",6.17,448802,"RC, C, "
Official,Planned,Bay of Plenty East,030-0187/00.22,Tikitere to Rotoma,Deleted,Tikitere to Rotoma,Resurfacing,"Due to resurfacing work taking place on SH30 from Matahi Rd to the intersection of SH30/SH34, a road closure will be in place from Mon 13 Nov to Fri 17 Nov, between 7am and 5pm each weekday. There will also be a soft closure at the intersection of SH30/SH33 up until Matahi Rd, access will be maintained here for businesses and residents. Speed restrictions will remain in place, drive with care. Expect significant delays. Please allow an extra 30 minutes of travel time for your journey. ",Road Work,17-Nov-2023 07:00:00,17-Nov-2023 17:00:00,"10 h, 0 m",10.00,13-Nov-2023 07:00:00,17-Nov-2023 17:00:00,"4 d, 10 h, 0 m",106.00,447855,"RC, D, RC, D, RC, D, RC, D, RC, D, "
Official,Planned,Bay of Plenty East,030-0187/00.37,Lake Rotoma to Kawerau Rd (SH34),Resolved,Lake Rotoma to Kawerau Rd (SH34),Resurfacing,"Due to resurfacing work on SH30 from Matahi Rd to the intersection of SH30/SH34 (Kawerau Rd), a road closure will be in place from Mon 13 Nov to Fri 17 Nov, between 7am and 5pm each weekday. There will also be a soft closure at the intersection of SH30/SH33 (Tikitere) up until Matahi Rd, access will be maintained here for businesses and residents. Expect speed restrictions and significant delays. Please allow an extra 30 minutes of travel time for your journey.",Area Warning,17-Nov-2023 07:30:00,17-Nov-2023 17:00:00,"9 h, 30 m",9.30,13-Nov-2023 07:00:00,17-Nov-2023 17:00:00,"4 d, 10 h, 0 m",106.00,448558,"C, RC, C, RC, C, RC, C, RC, C, RC, C, "
Official,Unplanned,Bay of Plenty East,034-0015/03.03,Kawerau to (SH30) Te Teko,Resolved,Kawerau to (SH30) Te Teko,Crash,An earlier crash has been cleared near Fletcher Ave. Expect delays,Road Hazard,14-Nov-2023 15:33:00,14-Nov-2023 18:05:00,"2 h, 32 m",2.32,14-Nov-2023 15:03:00,14-Nov-2023 18:06:47,"3 h, 3 m",3.03,449049,"D, RC, C, "
Official,Unplanned,Bay of Plenty East,030-0147/02.33,"Owhata, Rotorua",Resolved,"Owhata, Rotorua",Crash,"Following an earlier crash, SH30 (Te Ngae Rd) is now open between Owhata Rd Rbt and Iles Rd. ",Road Hazard,17-Nov-2023 04:50:00,17-Nov-2023 06:25:00,"1 h, 35 m",1.35,17-Nov-2023 04:50:00,17-Nov-2023 06:30:31,"1 h, 40 m",1.40,449261,"C, RC, C, "
Official,Unplanned,Bay of Plenty East,30A-0000/01.63-I,Rotorua,Resolved,Rotorua,Crash,Due to a serious crash (at the intersection of Tutanekai St) SH30A (Amohau St) is closed between Fenton St and Amohai St in Rotorua city centre. Follow the directions of response crews in the area. Expect delays and diversions.,Road Hazard,21-Nov-2023 11:00:00,21-Nov-2023 13:07:00,"2 h, 7 m",2.07,21-Nov-2023 10:28:00,21-Nov-2023 13:07:37,"2 h, 39 m",2.39,449713,"RC, C, "
Official,Planned,Bay of Plenty East,30A-0000/01.47-I,Ranolf Street to Fenton Street ,Resolved,Ranolf Street to Fenton Street ,Resurfacing,"A full eastbound road closure will be in place from Sun 26 Nov to Friday 1 Dec, from 8pm to 5am each work night. Temporary speed limits will be in place during the day, please drive with care. ",Road Work,30-Nov-2023 20:00:00,01-Dec-2023 05:00:00,"9 h, 0 m",9.00,26-Nov-2023 20:00:00,01-Dec-2023 05:00:00,"4 d, 9 h, 0 m",105.00,448936,"D, RC, RC, D, RC, D, RC, RC, D, D, "
Official,Planned,Bay of Plenty East,030-0206/12.00,"SH34 (Kawerau Road, east) to (SH2) Awakeri",Resolved,"SH34 (Kawerau Road, east) to (SH2) Awakeri",Resurfacing,"Due to asphalt resurfacing, overnight road closures will be in place at SH30 between SH34 (Kawerau Rd) and SH2 (Awakeri Rd) commencing Wed 6 Dec, with closures 7pm-5am each night, to be completed Tue 12 Dec, 5am (5 nights) temporary traffic management and speed restrictions will remain in place during the day. Please drive with care.",Road Work,12-Dec-2023 19:00:00, , , ,04-Dec-2023 19:00:00,06-Dec-2023 11:46:20,"1 d, 16 h, 46 m",40.46,450333,"D, RC, D, RC, RC, D, RC, D, RC, D, RC, "
Official,Planned,Bay of Plenty East,30A-0000/01.75-I,Tutanekai Street to Fenton Street ,Resolved,Tutanekai Street to Fenton Street ,Resurfacing,"Due to asphalt resurfacing, a full eastbound road closure will be in place from 8pm to 5am, Wed 6 Dec, to Thur, 7 December (weather dependant). Temporary speed restrictions will remain in place until line marking has been re established. Drive with care.",Road Work,07-Dec-2023 20:00:00,08-Dec-2023 05:00:00,"9 h, 0 m",9.00,05-Dec-2023 20:00:00,08-Dec-2023 05:00:00,"2 d, 9 h, 0 m",57.00,450697,"RC, D, D, RC, D, RC, "
Official,Planned,Bay of Plenty East,005-0029/15.74,Western Road to Ngongotaha Roundabout ,Resolved,Western Road to Ngongotaha Roundabout ,Resurfacing,"Due to chip seal resurfacing, a southbound road closure will be in place, from Tue 12 Dec to Fri 15 Dec, 9am to 4pm each day. Temporary speed restrictions will remain in place until road sweeping and line markings are reestablished, please drive with care and expect minor delays. ",Road Work,07-Dec-2023 00:00:00,07-Dec-2023 00:00:00,0 minutes.,0.00,07-Dec-2023 00:00:00,07-Dec-2023 11:30:03,"11 h, 30 m",11.30,449611, 
Official,Planned,Bay of Plenty East,030-0147/01.76,Iles Road To Owhata Roundabout,Resolved,Iles Road To Owhata Roundabout,Resurfacing,"Due to asphalt resurfacing, a full road closure will be in place between the Owhata roundabout and Isles Road, from Tue 12 Dec to Wed 13 Dec, 8pm to 5am (weather dependent). Temporary speed restrictions will remain in place during the day, please drive with care. ",Road Work,13-Dec-2023 20:00:00,14-Dec-2023 05:00:00,"9 h, 0 m",9.00,07-Dec-2023 20:00:00,14-Dec-2023 05:00:00,"6 d, 9 h, 0 m",153.00,451270,"RC, D, D, D, D, RC, RC, RC, "
Official,Unplanned,Bay of Plenty East,030-0131/10.72,Rotorua to (SH1) Kinleith,Resolved,Rotorua to (SH1) Kinleith,Crash,"Due to a crash, SH30 between SH5 and Bryce Rd is closed. Delay your journey or allow extra time for detours.",Road Hazard,16-Dec-2023 23:39:00,17-Dec-2023 03:40:00,"4 h, 1 m",4.01,16-Dec-2023 23:20:00,17-Dec-2023 03:40:59,"4 h, 20 m",4.20,452128,"RC, C, "
Official,Unplanned,Bay of Plenty East,030-0131/10.72,Rotorua to (SH1) Kinleith,Resolved,Rotorua to (SH1) Kinleith,Crash,"Due to a crash, SH30 between SH5 and Bryce Rd is closed. Delay your journey or allow extra time for detours.",Road Hazard,17-Dec-2023 03:46:00,17-Dec-2023 07:11:00,"3 h, 25 m",3.25,17-Dec-2023 03:46:00,17-Dec-2023 07:12:27,"3 h, 26 m",3.26,452135, 
Official,Unplanned,Bay of Plenty East,030-0147/05.17,Rotorua to (SH33) Tikitere,Resolved,Rotorua to (SH33) Tikitere,Crash,Due to a serious crash SH30 is closed between Lee Rd and Robinson Ave. Delay your journey or consider alternative route.,Road Hazard,18-Dec-2023 11:40:00,18-Dec-2023 15:50:00,"4 h, 10 m",4.10,18-Dec-2023 11:27:00,18-Dec-2023 15:50:26,"4 h, 23 m",4.23,452220,"RC, C, "
Official,Unplanned,Gisborne North,035-0190/04.27-B,Tolaga Bay to Ruatoria,Resolved,Tolaga Bay to Ruatoria,Other,The road is now clear.,Area Warning,16-Jan-2023 19:00:00,17-Jan-2023 07:00:00,"12 h, 0 m",12.00,10-Jan-2023 12:24:00,21-Jan-2023 08:34:45,"10 d, 20 h, 10 m",260.10,411545,"C, RC, C, RC, C, RC, C, RC, C, "
Official,Unplanned,Gisborne North,035-0144/14.95-B,Hicks Bay to Te Araroa,Resolved,Hicks Bay to Te Araroa,Other,The road is now clear.,Area Warning,11-Jan-2023 11:42:30, , , ,11-Jan-2023 11:42:30,11-Jan-2023 20:58:54,"9 h, 16 m",9.16,411709,"RC, C, "
Unofficial,Unplanned,Gisborne North,035-0263/10.36-B,Hicks Bay to Tolaga Bay,Resolved,Hicks Bay to Tolaga Bay,Flooding,The road is now clear.,Area Warning,13-Feb-2023 13:20:09,16-Feb-2023 16:35:00,"3 d, 3 h, 15 m",75.15,13-Feb-2023 13:19:58,16-Feb-2023 16:35:00,"3 d, 3 h, 16 m",75.16,415296,"RC, C, "
Official,Unplanned,Gisborne North,035-0225/01.22-B,Mangatuna to Ruatoria,Resolved,Mangatuna to Ruatoria,Flooding,The road is now clear.,Area Warning,13-Feb-2023 19:04:00,27-Feb-2023 14:18:46,"13 d, 19 h, 14 m",331.14,13-Feb-2023 14:16:00,27-Feb-2023 14:18:46,"14 d, 2 m",336.02,415307,"C, RC, C, "
Official,Unplanned,Gisborne North,035-0238/11.80-B,Mangatuna to Ruatoria,Resolved,Mangatuna to Ruatoria,Flooding,The road is now clear.,Area Warning,13-Feb-2023 19:04:00,27-Feb-2023 14:18:46,"13 d, 19 h, 14 m",331.14,13-Feb-2023 14:16:00,27-Feb-2023 14:18:46,"14 d, 2 m",336.02,415307,"C, RC, C, "
Official,Unplanned,Gisborne North,035-0200/01.23-B,Mangatuna to Ruatoria,Resolved,Mangatuna to Ruatoria,Flooding,The road is now clear.,Area Warning,13-Feb-2023 19:04:00,27-Feb-2023 14:18:46,"13 d, 19 h, 14 m",331.14,13-Feb-2023 14:16:00,27-Feb-2023 14:18:46,"14 d, 2 m",336.02,415307,"C, RC, C, "
Official,Unplanned,Gisborne North,035-0200/07.08-B,"Waipiro Bay, near Hiruharama Road",Resolved,"Waipiro Bay, near Hiruharama Road",Slip,The road is now clear.,Road Hazard,25-Feb-2023 07:34:37,25-Feb-2023 15:39:45,"8 h, 5 m",8.05,25-Feb-2023 06:55:48,25-Feb-2023 15:39:45,"8 h, 44 m",8.44,416788,"C, RC, C, "
Official,Unplanned,Gisborne North,035-0321/00.25-B,Okitu to Tolaga Bay,Resolved,Okitu to Tolaga Bay,Flooding,The road is now clear.,Area Warning,25-Feb-2023 08:34:08,25-Feb-2023 08:52:18,18 m,0.18,25-Feb-2023 08:34:08,25-Feb-2023 08:52:18,18 m,0.18,416797,"RC, C, "
Official,Unplanned,Gisborne North,035-0225/01.21-B,Tokomaru Bay to Te Puia Springs,Resolved,Tokomaru Bay to Te Puia Springs,Flooding,The road is now clear.,Area Warning,07-Apr-2023 18:00:00,08-Apr-2023 06:34:59,"12 h, 34 m",12.34,27-Feb-2023 00:00:00,09-May-2023 12:17:35,"71 d, 12 h, 17 m",1716.17,417030,"C, RC, C, RC, C, RC, C, "
Unofficial,Unplanned,Gisborne North,035-0180/02.41-B,Te Puia Springs to Tikitiki,Resolved,Te Puia Springs to Tikitiki,Flooding,The road is now clear.,Area Warning,27-Feb-2023 19:08:00,28-Feb-2023 11:18:00,"16 h, 10 m",16.10,27-Feb-2023 19:08:00,22-Jun-2023 12:23:43,"114 d, 17 h, 15 m",2753.15,417055,"RC, C, "
Official,Unplanned,Gisborne North,035-0250/06.55-B,Mangatuna to Anaura Bay (Pourau Road Bypass),Resolved,Mangatuna to Anaura Bay (Pourau Road Bypass),Crash,The road is now clear.,Road Hazard,18-May-2023 12:15:44, , , ,18-May-2023 12:15:44,18-May-2023 15:51:31,"3 h, 36 m",3.36,425956,"RC, V, C, "
Official,Unplanned,Gisborne North,035-0225/11.02-B,Tolaga Bay to Tokomaru Bay ,Resolved,Tolaga Bay to Tokomaru Bay ,Flooding,The road is now clear.,Area Warning,29-May-2023 23:00:00, , , ,29-May-2023 22:22:00,30-May-2023 09:10:47,"10 h, 48 m",10.48,427160,"C, RC, C, "
Official,Unplanned,Gisborne North,035-0308/12.85-B,Okitu to Ruatoria,Resolved,Okitu to Ruatoria,Flooding,The road is now clear.,Area Warning,21-Jun-2023 16:00:02,22-Jun-2023 08:42:11,"16 h, 42 m",16.42,21-Jun-2023 16:00:02,22-Jun-2023 12:11:45,"20 h, 11 m",20.11,431422,"RC, C, "
Unofficial,Unplanned,Gisborne North,035-0308/12.75-B,Okitu to Ruatoria,Resolved,Okitu to Ruatoria,Flooding,The road is now clear.,Area Warning,22-Jun-2023 17:00:00,26-Jun-2023 08:36:01,"3 d, 15 h, 36 m",87.36,22-Jun-2023 12:17:06,26-Jun-2023 14:36:10,"4 d, 2 h, 19 m",98.19,431490,"C, RC, C, RC, C, RC, C, "
Official,Unplanned,Gisborne North,035-0190/05.46-B,"Ruatoria, between Kemp Road  and  Tapuaeroa Road intersection.",Resolved,"Ruatoria, between Kemp Road  and  Tapuaeroa Road intersection.",Drop out,The road is now clear.,Road Hazard,23-Jun-2023 09:24:36,23-Jun-2023 13:51:40,"4 h, 27 m",4.27,23-Jun-2023 08:42:00,23-Jun-2023 13:51:40,"5 h, 9 m",5.09,431589,"C, RC, C, "
Official,Unplanned,Gisborne North,035-0308/12.53-B,Okitu to Ruatoria ,Resolved,Okitu to Ruatoria ,Slip,The road is now clear.,Area Warning,27-Jun-2023 17:00:00,28-Jun-2023 07:00:00,"14 h, 0 m",14.00,27-Jun-2023 16:56:06,28-Jun-2023 12:33:46,"19 h, 37 m",19.37,432069,"C, RC, C, "
Official,Unplanned,Gisborne North,035-0308/12.44-B,Okitu to Ruatoria,Resolved,Okitu to Ruatoria,Slip,The road is now clear.,Area Warning,28-Jun-2023 17:00:00,29-Jun-2023 07:00:00,"14 h, 0 m",14.00,28-Jun-2023 14:26:59,29-Jun-2023 07:03:38,"16 h, 37 m",16.37,432161,"RC, C, "
Official,Planned,Gisborne North,035-0250/06.25-B,"Mangatuna, near the intersection of Matairau Road",Resolved,"Mangatuna, near the intersection of Matairau Road",Other,"Due to bridge dismantlement works, this section of road will be closed in both directions 24/7 from Monday 17th July at 7am to Thursday 27th July at 5am.  Plan your journey accordingly and expect delays through this area during this time.",Road Work,17-Jul-2023 07:00:00,27-Jul-2023 05:00:00,"9 d, 22 h, 0 m",238.00,17-Jul-2023 07:00:00,27-Jul-2023 05:00:00,"9 d, 22 h, 0 m",238.00,432822, 
Official,Unplanned,Gisborne North,035-0263/10.03-B,Tolaga Bay to Tokomaru Bay,Resolved,Tolaga Bay to Tokomaru Bay,Flooding,The road is now clear.,Area Warning,21-Jul-2023 18:00:00, , , ,21-Jul-2023 16:29:35,22-Jul-2023 11:58:56,"19 h, 29 m",19.29,435401,"RC, C, RC, C, "
Official,Planned,Gisborne North,035-0180/02.42-B,"Tikitiki, between the intersections of Pututu Road and Rangitukia Road ",Resolved,"Tikitiki, between the intersections of Pututu Road and Rangitukia Road ",Public Event,"Due to a public event, this section of road will be closed in both directions on Saturday 5th August between 7am and 5pm.  Plan your journey accordingly allowing extra time for travel",Area Warning,05-Aug-2023 07:00:00,05-Aug-2023 17:00:00,"10 h, 0 m",10.00,05-Aug-2023 07:00:00,05-Aug-2023 17:00:00,"10 h, 0 m",10.00,432806, 
Official,Unplanned,Gisborne North,035-0159/05.60-B,"Te Araroa to Tikitiki, between the intersection of Kopuapounamu Road and Whakaangiangi Road",Resolved,"Te Araroa to Tikitiki, between the intersection of Kopuapounamu Road and Whakaangiangi Road",Crash,The road is now clear.,Area Warning,11-Sep-2023 15:20:24,11-Sep-2023 17:58:34,"2 h, 38 m",2.38,11-Sep-2023 15:20:24,11-Sep-2023 23:03:59,"7 h, 43 m",7.43,440994,"C, RC, D, RC, "
Official,Unplanned,Gisborne North,035-0225/01.31-B,Tokomaru Bay to Te Puia Springs,Resolved,Tokomaru Bay to Te Puia Springs,Fallen Tree/s Across Highway,The road is now clear.,Area Warning,24-Sep-2023 21:11:30,24-Sep-2023 22:55:04,"1 h, 44 m",1.44,24-Sep-2023 19:05:00,24-Sep-2023 22:55:04,"3 h, 50 m",3.50,443238,"C, RC, C, "
Official,Unplanned,Gisborne North,035-0213/02.35-B,"Te Puia Springs to Waipiro Bay, near the intersection with Kopuaroa Road.",Resolved,"Te Puia Springs to Waipiro Bay, near the intersection with Kopuaroa Road.",Fallen tree/s across highway,The road is now clear.,Road Hazard,30-Oct-2023 18:50:27,30-Oct-2023 21:17:49,"2 h, 27 m",2.27,30-Oct-2023 17:39:05,31-Oct-2023 00:05:15,"6 h, 26 m",6.26,447640,"C, RC, C, "
Official,Unplanned,Gisborne North,035-0289/10.52-B,"Whangara, between Pa Road and Panikau Road",Resolved,"Whangara, between Pa Road and Panikau Road",Crash,The road is now clear.,Area Warning,22-Nov-2023 11:46:40, , , ,22-Nov-2023 09:40:11,22-Nov-2023 16:48:33,"7 h, 8 m",7.08,449806,"C, RC, D, C, "
Official,Unplanned,Gisborne North,035-0308/11.03-B,Okitu to Tolaga Bay,Resolved,Okitu to Tolaga Bay,Flooding,The road is now clear.,Area Warning,25-Nov-2023 11:49:19, , , ,25-Nov-2023 11:49:19,25-Nov-2023 23:16:43,"11 h, 27 m",11.27,450184,"C, RC, "
Official,Planned,Gisborne West,035-0327/00.06-B,Gisborne (Gladstone Road Bridge),Resolved,Gisborne (Gladstone Road Bridge),Other,"Due to debris clearing under this bridge, the road will be closed in both directions on Thursday 12th January and Friday 13th January nights between 7pm and 6am each night.  Plan your journey accordingly allowing extra time for travel.",Road Work,13-Jan-2023 19:00:00,14-Jan-2023 06:00:00,"11 h, 0 m",11.00,12-Jan-2023 19:00:00,14-Jan-2023 06:00:00,"1 d, 11 h, 0 m",35.00,411736,"RC, C, RC, C, RC, C, "
Unofficial,Unplanned,Gisborne West,002-0361/13.31-B,"Matawai, north of intersection with Motu Road",Resolved,"Matawai, north of intersection with Motu Road",Slip,The road is now clear.,Road Hazard,28-Jan-2023 17:34:48,28-Jan-2023 20:01:23,"2 h, 27 m",2.27,28-Jan-2023 16:27:07,28-Jan-2023 20:01:23,"3 h, 34 m",3.34,413462,"C, RC, C, "
Official,Unplanned,Gisborne West,002-0626/11.67-B,Napier to Gisborne,Resolved,Napier to Gisborne,Flooding,The road is now clear.,Area Warning,13-Feb-2023 17:51:24,17-Feb-2023 15:51:48,"3 d, 22 h, 0 m",94.00,13-Feb-2023 17:11:45,17-Feb-2023 15:51:48,"3 d, 22 h, 40 m",94.40,415351,"C, RC, C, "
Unofficial,Unplanned,Gisborne West,002-0304/00.43-B,Gisborne to Opotiki,Resolved,Gisborne to Opotiki,Flooding,The road is now clear.,Area Warning,25-Feb-2023 19:00:00, , , ,13-Feb-2023 21:26:00,08-Mar-2023 12:08:28,"22 d, 14 h, 42 m",542.42,415421,"C, RC, C, RC, C, RC, C, RC, C, RC, C, D, RC, D, RC, D, RC, D, RC, D, RC, C, "
Unofficial,Unplanned,Gisborne West,002-0406/08.35-B,Gisborne to Opotiki,Resolved,Gisborne to Opotiki,Flooding,The road is now clear.,Area Warning,25-Feb-2023 19:00:00, , , ,13-Feb-2023 21:26:00,08-Mar-2023 12:08:28,"22 d, 14 h, 42 m",542.42,415421,"C, RC, C, RC, C, RC, C, RC, C, RC, C, D, RC, D, RC, D, RC, D, RC, D, RC, C, "
Unofficial,Unplanned,Gisborne West,002-0416/10.51-B,Gisborne to Opotiki,Resolved,Gisborne to Opotiki,Flooding,The road is now clear.,Area Warning,25-Feb-2023 19:00:00, , , ,13-Feb-2023 21:26:00,08-Mar-2023 12:08:28,"22 d, 14 h, 42 m",542.42,415421,"C, RC, C, RC, C, RC, C, RC, C, RC, C, D, RC, D, RC, D, RC, D, RC, D, RC, C, "
